"ID","Title","Hyperlink","Make","Model","Year","Mileage","Fuel Type","Transmission","Body Type","Seats","Engine Size(Litres)","Road Tax","NCT Expiry","Country of Registeration","Colour","Doors","Views","Days Online"
"25878625","BMW 4 Series 420d M Sport Gran Coupe Auto","https://www.donedeal.ie/cars-for-sale/bmw-4-series-420d-m-sport-gran-coupe-auto/25878625","BMW","4 Series","2020","1375 mi","Diesel","Automatic","Hatchback","","2.0","","","UK","Blue","5","11","55 mins"
"25971815","Citroen Grand C4 Picasso 1.6 E-hdi 110HP EGS Excl","https://www.donedeal.ie/cars-for-sale/citroen-grand-c4-picasso-1-6-e-hdi-110hp-egs-excl/25971815","Citroen","C4 GRAND PICASSO","2011","79537 mi","Diesel","Automatic","Hatchback","","1.6","","Jan 2022","Ireland","Silver","5","1","59 mins"
"26007951","Citroen C5 Aircross Feel Puretech 130 S S 6MT //","https://www.donedeal.ie/cars-for-sale/citroen-c5-aircross-feel-puretech-130-s-s-6mt-/26007951","Citroen","C5 Aircross","2020","0 mi","Petrol","Manual","SUV","","1.2","","","Ireland","Grey","5","4","59 mins"
"26209605","Nissan Qashqai 2010","https://www.donedeal.ie/cars-for-sale/nissan-qashqai-2010/26209605","Nissan","Qashqai","2010","","Diesel","","Hatchback","5","1.5","270","Dec 2022","Ireland","Black","","29","58 mins"
"25942888","Skoda Octavia Combi Style 1.6tdi 90hp // HIG Spec","https://www.donedeal.ie/cars-for-sale/skoda-octavia-combi-style-1-6tdi-90hp-hig-spec/25942888","Skoda","Octavia","2015","64002 mi","Diesel","Manual","Estate","","1.6","","","Ireland","Blue","5","12","1 hour"
"26164302","VW GOLF 2.0GTD 184bhp","https://www.donedeal.ie/cars-for-sale/vw-golf-2-0gtd-184bhp/26164302","Volkswagen","Golf","2016","70000 km","Diesel","","Hatchback","5","2.0","200","Oct 2020","Ireland","Grey","5","300","4 days"
"26171795","Opel Astra SRI 1.0i Turbo 105PS 5DR","https://www.donedeal.ie/cars-for-sale/opel-astra-sri-1-0i-turbo-105ps-5dr/26171795","Opel","Astra","2019","15000 km","Petrol","Manual","Hatchback","","1.0","","","Ireland","Blue","5","1","0 min"
"25942889","Volvo S90 D4 2.0 190hp Momentum Geartronic // Rea","https://www.donedeal.ie/cars-for-sale/volvo-s90-d4-2-0-190hp-momentum-geartronic-rea/25942889","Volvo","S90","2016","25476 mi","Diesel","Automatic","Saloon","","2.0","","Oct 2020","Ireland","Grey","4","16","59 mins"
"25690200","Volvo XC40 D4 AWD Auto R-design PRO // Huge Spec","https://www.donedeal.ie/cars-for-sale/volvo-xc40-d4-awd-auto-r-design-pro-huge-spec/25690200","Volvo","XC40","2019","10439 mi","Diesel","Automatic","SUV","","2.0","","May 2023","Ireland","Blue","5","12","59 mins"
"26111729","AUDI A6 2.0 TDI ULTRA 190BHP EXECUTIVE","https://www.donedeal.ie/cars-for-sale/audi-a6-2-0-tdi-ultra-190bhp-executive/26111729","Audi","A6","2016","67000 mi","Diesel","Automatic","Saloon","5","2.0","200","","Ireland","Black","4","125","3 days"
"25168529","Peugeot 3008 GT Line 1.5l Bluehdi 130 Start/stop","https://www.donedeal.ie/cars-for-sale/peugeot-3008-gt-line-1-5l-bluehdi-130-start-stop/25168529","Peugeot","3008","2019","16727 mi","Diesel","Manual","SUV","","1.5","","","UK","Black","5","581","25 days"
"26091483","MINI HATCH 5-door Cooper Classic","https://www.donedeal.ie/cars-for-sale/mini-hatch-5-door-cooper-classic/26091483","MINI","Mini","2020","999 km","Petrol","Manual","Hatchback","","1.5","","","Ireland","Grey","5","147","12 days"
"26164240","Hunday I30","https://www.donedeal.ie/cars-for-sale/hunday-i30/26164240","Hyundai","I30","2011","","Diesel","Manual","Hatchback","5","1.6","200","Sep 2021","Ireland","Blue","5","388","4 days"
"26069407","Toyota Verso 7 seater (NEW NCT)","https://www.donedeal.ie/cars-for-sale/toyota-verso-7-seater-new-nct/26069407","Toyota","Corolla Verso","2008","114000 mi","Petrol","Manual","Estate/Jeep","7","1.6","","Jan 2021","Ireland","Black","5","435","11 days"
"26059349","151 Hyundai ix35 Diesel 1.7","https://www.donedeal.ie/cars-for-sale/151-hyundai-ix35-diesel-1-7/26059349","Hyundai","ix35","2015","151000 km","Diesel","Manual","SUV","5","1.7","280","Feb 2021","Ireland","Silver","4","701","16 days"
"25659383","2015 Toyota Vitz/Yaris Automatic","https://www.donedeal.ie/cars-for-sale/2015-toyota-vitz-yaris-automatic/25659383","Toyota","Vitz","2015","109000 km","Petrol","Automatic","Hatchback","","1.3","","","Ireland","Grey","5","29","15 hours"
"23854383","Hyundai Tucson Comfort - (fully Sanitized)","https://www.donedeal.ie/cars-for-sale/hyundai-tucson-comfort-fully-sanitized/23854383","Hyundai","Tucson","2017","96400 km","Diesel","Manual","SUV","","1.7","200","May 2021","Ireland","Silver","5","318","10 days"
"25717000","Fiat 500 Pop Star Start/stop","https://www.donedeal.ie/cars-for-sale/fiat-500-pop-star-start-stop/25717000","Fiat","500","2017","28693 mi","Petrol","Manual","Hatchback","","1.2","","","UK","Grey","3","78","2 days"
"26194633","Toyota Corolla 1.4 Saloon Low Km","https://www.donedeal.ie/cars-for-sale/toyota-corolla-1-4-saloon-low-km/26194633","Toyota","Corolla","2010","62279 mi","Petrol","Manual","Saloon","5","1.4","","May 2021","Ireland","Blue","4","265","1 day"
"26196494","Volvo V40 R-Design 1.6 D2","https://www.donedeal.ie/cars-for-sale/volvo-v40-r-design-1-6-d2/26196494","Volvo","V40","2013","113800 mi","Diesel","","Hatchback","5","1.6","180","Jul 2021","Ireland","Black","5","290","1 day"
"26206519","191 Nissan Qashqai 1.5 DSL SV Premium","https://www.donedeal.ie/cars-for-sale/191-nissan-qashqai-1-5-dsl-sv-premium/26206519","Nissan","Qashqai","2019","18000 km","Diesel","Manual","MPV","5","1.5","","Feb 2023","Ireland","Red","4","47","14 hours"
"23054164","2014 Auto Toyota Prius Alpha 7 Seater (60 MPG)","https://www.donedeal.ie/cars-for-sale/2014-auto-toyota-prius-alpha-7-seater-60-mpg/23054164","Toyota","Prius","2014","11901 km","Hybrid","Automatic","MPV","","1.8","170","Apr 2022","Ireland","Black","5","152","3 days"
"26122294","2015 Mercedes-Benz , C 300 Hybrid/Diesel 2.1, AMG","https://www.donedeal.ie/cars-for-sale/2015-mercedes-benz-c-300-hybrid-diesel-2-1-amg/26122294","Mercedes-Benz","C-Class","2015","128000 km","Hybrid","","Estate","5","2.1","190","Nov 2021","Ireland","White","5","200","5 days"
